PLAYER_ID,PLAYER,SG_T,SG_P,SG_ATG,SP_APP,SG_OTT,Average_Score,ROUNDS,GIR_%,FWY_%,Drive_Distance,VICTORIES,TOP 10
60067,Joe Highsmith,0.026,-0.269,0.167,0.061,0.066,69.64,74,70.32,46.43,306.5,0,3
33141,Keegan Bradley,0.34,-0.141,0.008,0.301,0.173,70.29,79,67.09,64.66,305.5,1,3
12716,Charley Hoffman,0.116,-0.241,0.052,0.17,0.135,69.9,73,66.98,56.6,304.4,0,3
56630,Akshay Bhatia,0.748,0.345,-0.048,0.264,0.188,69.94,89,66.02,66.67,299.8,1,3
30926,Chris Kirk,0.105,-0.427,0.11,0.155,0.266,70.26,81,65.8,63.64,299.9,1,3
37455,Si Woo Kim,0.761,-0.218,0.193,0.506,0.28,69.63,92,65.4,67.05,294.8,0,3
34587,Chan Kim,0.508,-0.412,0.323,0.354,0.242,69.32,84,70.69,58.18,301.8,0,3
52513,Carson Young,0.257,0.129,-0.327,0.153,0.301,69.53,90,69.57,67.86,295.6,0,3
57362,Austin Eckroat,0.301,-0.172,-0.243,0.395,0.333,70.18,94,66.17,70.45,300.8,2,3
48867,Matti Schmid,0.311,0.26,-0.243,0.035,0.259,69.85,81,69.73,66.67,308.2,0,3
59143,Mac Meissner,0.706,-0.056,0.172,0.405,0.184,69.4,75,69.98,55.36,302.8,0,3
34046,Jordan Spieth,0.265,-0.006,-0.024,-0.204,0.5,70.34,70,65.87,60.70137096774194,306.9,0,3
29936,Ryan Fox,0.132,0.181,-0.232,0.008,0.175,70.28,78,65.95,60.70137096774194,310.9,0,3
39977,Max Homa,-0.054,-0.025,0.208,0.145,-0.383,70.75,79,63.71,71.67,300.2,0,3
52375,Doug Ghim,0.871,-0.191,-0.011,0.659,0.413,69.19,94,72.65,57.14,297.2,0,2
32070,Rafael Campos,-0.723,-0.288,-0.315,0.061,-0.18,70.47,60,68.33,60.47,303.8,1,2
27936,Martin Laird,-0.218,0.164,0.303,-0.328,-0.357,70.04,75,69.37,60.70137096774194,290.5,0,2
36884,Ben Kohles,-0.348,-0.201,-0.332,0.169,0.015,70.35,89,70.0,71.43,290.9,0,2
57900,Chandler Phillips,0.453,0.322,0.026,0.101,0.005,69.39,87,65.39,57.14,295.1,0,2
22405,Justin Rose,-0.445,0.022,-0.029,-0.377,-0.061,70.54,61,63.3,60.70137096774194,297.5,0,2
54421,Garrick Higgo,-0.583,0.066,-0.088,-0.377,-0.184,70.26,82,67.86,60.70137096774194,308.8,0,2
46340,Alex Smalley,-0.351,-0.418,-0.198,-0.086,0.352,70.05,78,70.65,62.5,307.5,0,2
25900,Lucas Glover,0.646,-0.215,0.168,0.71,-0.017,69.94,93,69.12,73.21,289.9,0,2
48084,Wesley Bryan,-0.118,-0.158,0.135,-0.142,0.047,69.62,50,69.78,60.70137096774194,302.6,0,2
54628,Lee Hodges,-0.209,-0.302,-0.247,0.363,-0.023,70.29,94,68.13,62.5,296.6,0,2
57975,Harry Hall,0.672,0.279,0.406,0.167,-0.181,69.22,83,66.39,52.59,301.5,1,2
40026,Daniel Berger,0.287,-0.404,0.087,0.218,0.385,69.64,80,71.2,74.07,298.1,0,2
36871,Matt NeSmith,-0.484,-0.187,-0.213,-0.065,-0.02,70.58,76,70.6,60.70137096774194,297.7,0,2
31646,Emiliano Grillo,0.05,0.129,-0.408,0.272,0.057,70.49,85,65.88,50.0,292.5,0,2
49947,Taylor Moore,0.21,0.19,0.048,-0.289,0.261,70.19,99,66.39,60.71,306.8,0,2
59836,Pierceson Coody,-0.074,0.505,-0.273,-0.378,0.072,70.12,81,68.66,60.70137096774194,312.6,0,2
55182,Tom Kim,0.371,-0.081,0.057,0.263,0.132,70.11,82,66.17,52.73,299.0,0,2
37378,Min Woo Lee,0.478,-0.11,0.111,-0.213,0.69,70.06,70,65.4,60.70137096774194,314.8,0,2
32333,Kevin Tway,0.145,0.362,0.171,-0.565,0.177,69.63,60,70.28,60.70137096774194,306.2,0,2
30927,Brendon Todd,-0.112,0.409,0.3,-0.423,-0.398,70.43,99,63.08,50.0,279.8,0,2
40058,Zac Blair,-0.087,-0.114,0.21,0.11,-0.294,70.21,86,66.67,60.70137096774194,283.0,0,2
34466,Peter Malnati,-0.578,0.257,0.061,-0.308,-0.589,71.04,78,61.41,58.62,297.7,1,2
45157,Cam Davis,-0.426,-0.254,0.041,-0.105,-0.109,70.68,80,63.49,62.35,303.2,1,2
55454,Carl Yuan,-0.807,-0.63,-0.048,-0.359,0.23,71.06,67,63.11,60.70137096774194,309.8,0,2
